seed,scenario,lane,folds,trades,total_net,mean_net,hit_rate,trade_tstat,max_drawdown,average_duration,selection_rate,baseline_trade_tstat,baseline_total_net,trade_tstat_delta,total_net_delta,beats_baseline_tstat
1328178339,regime_switching,lightgbm_point,2,2800,476.3073385203811,0.17010976375727896,0.625,5.680868215769008,58.155407958244325,3.5382142857142855,0.2947305917986787,5.80647998905123,496.4054468853109,-0.1256117732822215,-20.09810836492977,False
1328178339,regime_switching,lightgbm_quantile,2,2917,494.6648948498033,0.16958001194713862,0.6235858758998971,5.785788713651753,73.44645021260152,3.553993829276654,0.3071986224892158,5.80647998905123,496.4054468853109,-0.020691275399476794,-1.7405520355075623,False
1328178339,regime_switching,rolling_z,2,2916,496.4054468853109,0.17023506408961278,0.6237997256515775,5.80647998905123,74.3714763245764,3.5565843621399176,0.30708957369285184,5.80647998905123,496.4054468853109,0.0,0.0,False
1328178339,stationary_ou,catboost_barrier,2,2593,896.8421968124287,0.34587049626395244,0.6903200925568839,13.019570443559173,16.571921774909868,3.1820285383725415,0.2945785656265911,12.861591547097433,751.3662660036898,0.15797889646174035,145.4759308087389,True
1328178339,stationary_ou,catboost_huber,2,1532,673.4860734099782,0.43961231945821033,0.716710182767624,12.559585372727456,12.286679619580678,2.8237597911227152,0.17419640508476467,12.861591547097433,751.3662660036898,-0.3020061743699767,-77.88019259371163,False
1328178339,stationary_ou,catboost_point,2,2388,930.5614339126338,0.38968234250947814,0.7014237855946399,14.028006355779224,15.211336093897785,3.061139028475712,0.2714431692935253,12.861591547097433,751.3662660036898,1.1664148086817914,179.19516790894397,True
1328178339,stationary_ou,catboost_quantile,2,1932,766.9209269683739,0.39695700153642544,0.7049689440993789,12.823447592744149,11.483538996831427,3.0134575569358177,0.21911981171851352,12.861591547097433,751.3662660036898,-0.038143954353284215,15.554660964684103,False
1328178339,stationary_ou,lightgbm_barrier,2,2594,879.2426549054563,0.33895244984790146,0.6877409406322282,12.66896171634893,12.634958736337197,3.15343099460293,0.29440006698086835,12.861591547097433,751.3662660036898,-0.19262983074850304,127.87638890176652,False
1328178339,stationary_ou,lightgbm_huber,2,1956,818.2777555546351,0.4183424108152531,0.7060327198364008,13.538116125972875,12.032618492865822,2.9217791411042944,0.22204366908973333,12.861591547097433,751.3662660036898,0.6765245788754424,66.91148955094525,True
1328178339,stationary_ou,lightgbm_point,2,1647,713.9353273122015,0.43347621573296996,0.7140255009107468,13.188398659088191,18.726008391181267,3.0406800242865817,0.18683248836403565,12.861591547097433,751.3662660036898,0.3268071119907585,-37.430938691488336,True
1328178339,stationary_ou,lightgbm_quantile,2,2300,938.7042999356362,0.4081323043198418,0.707391304347826,14.438410783774186,11.722870762599314,3.1169565217391306,0.26149277312770514,12.861591547097433,751.3662660036898,1.5768192366767533,187.33803393194637,True
1328178339,stationary_ou,rolling_z,2,1756,751.3662660036898,0.42788511731417417,0.7061503416856492,12.861591547097433,12.931890779725677,2.8211845102505695,0.1995407350634109,12.861591547097433,751.3662660036898,0.0,0.0,False
1031391267,regime_switching,catboost_barrier,2,788,250.31635136365534,0.317660344370121,0.684010152284264,6.289062901718057,19.4315788332801,3.479695431472081,0.08381675369595704,5.388321956976453,334.51208962844953,0.9007409447416039,-84.19573826479419,True
1031391267,regime_switching,catboost_huber,2,1966,479.4568172461865,0.2438742712340725,0.6581892166836215,6.613614390980598,41.91297465609099,3.0844354018311293,0.2121124129031551,5.388321956976453,334.51208962844953,1.2252924340041451,144.944727617737,True
1031391267,regime_switching,catboost_point,2,1371,376.7151922845204,0.27477402792452255,0.6673960612691466,6.487140646743821,27.871109249042547,3.013858497447119,0.14755341014989803,5.388321956976453,334.51208962844953,1.0988186897673682,42.20310265607088,True
1031391267,regime_switching,catboost_quantile,2,1697,406.07821146777167,0.2392918158325113,0.6558632881555686,6.006404918684507,41.43122883591647,3.280494991160872,0.17909719109321226,5.388321956976453,334.51208962844953,0.6180829617080539,71.56612183932214,True
1031391267,regime_switching,lightgbm_barrier,2,1415,308.02862173326884,0.21768807189630307,0.6487632508833923,5.548440241105911,32.04081803342396,3.469964664310954,0.14975345824112613,5.388321956976453,334.51208962844953,0.1601182841294575,-26.483467895180695,True
1031391267,regime_switching,lightgbm_huber,2,1634,437.32005780333117,0.26763773427376447,0.6591187270501836,6.849755896932322,46.41095883758095,3.130966952264382,0.172429157350799,5.388321956976453,334.51208962844953,1.4614339399558691,102.80796817488164,True
1031391267,regime_switching,lightgbm_point,2,1959,471.75098247944277,0.24081214011201774,0.6584992343032159,6.514151299766708,40.70092958181388,3.2725880551301683,0.21220144789763007,5.388321956976453,334.51208962844953,1.1258293427902553,137.23889285099324,True
1031391267,regime_switching,lightgbm_quantile,2,2136,597.4277811957405,0.27969465411785605,0.6643258426966292,8.196065767391145,32.71426073543884,3.394662921348315,0.2295417609290513,5.388321956976453,334.51208962844953,2.807743810414692,262.915691567291,True
1031391267,regime_switching,rolling_z,2,1409,334.51208962844953,0.23741099334879315,0.6493967352732435,5.388321956976453,30.504163893814848,3.0872959545777148,0.15273168908221796,5.388321956976453,334.51208962844953,0.0,0.0,False
1031391267,stationary_ou,catboost_barrier,2,1229,445.4336517048576,0.36243584353527875,0.708706265256306,10.127956322594342,10.00458586647909,3.5248169243287224,0.13821568975575113,12.613270001505434,901.5284504457106,-2.4853136789110923,-456.09479874085304,False
1031391267,stationary_ou,catboost_huber,2,1664,573.6357900934232,0.34473304693114376,0.6875,10.30023998805406,17.312254621669098,3.0697115384615383,0.18733608948182717,12.613270001505434,901.5284504457106,-2.3130300134513746,-327.8926603522874,False
1031391267,stationary_ou,catboost_point,2,1816,614.002018467329,0.3381068383630666,0.6861233480176211,10.689913928262257,14.441087592033114,3.1569383259911894,0.2046556927993507,12.613270001505434,901.5284504457106,-1.923356073243177,-287.52643197838165,False
1031391267,stationary_ou,catboost_quantile,2,1863,676.5848268474169,0.36316952595137786,0.69296833064949,11.671942339044012,15.160253502775277,3.1068169618894257,0.20970882897506785,12.613270001505434,901.5284504457106,-0.941327662461422,-224.9436235982937,False
