scenario,fold,lane,point_bias_adjustment,calibration_rmse_raw,calibration_rmse,test_rmse,test_mae,quantile_adjustment,calibration_coverage_20,calibration_coverage_50,calibration_coverage_80,test_coverage_20,test_coverage_50,test_coverage_80,test_pinball_20,test_pinball_50,test_pinball_80,raw_crossing_rate,test_mean_interval_width,test_strict_q20_positive_rate,barrier_class_payoffs,calibration_log_loss,calibration_win_ece,test_log_loss,test_multiclass_brier,test_win_ece,test_mean_win_probability,test_win_frequency
regime_switching,1,catboost_point,0.023655073812261593,1.4648586815972244,1.4646676737518634,1.427610160130516,1.2016492629924718,,,,,,,,,,,,,,,,,,,,,
regime_switching,1,lightgbm_huber,-0.27578923011435597,1.5063155366215106,1.4808534013940342,1.4329475542328236,1.1943969909108048,,,,,,,,,,,,,,,,,,,,,
regime_switching,1,catboost_huber,-0.22359745875956108,1.4960474757567268,1.479243802134841,1.4297789003301762,1.1912440704857383,,,,,,,,,,,,,,,,,,,,,
regime_switching,1,lightgbm_quantile,,,,,,"[-0.009644306977111128, 0.03306624993452478, 0.029967691921248565]",0.2003454231433506,0.5002878526194589,0.7996545768566494,0.17767295597484276,0.4694519317160827,0.7895327942497754,0.42791295791531003,0.5089354388531028,0.3062244469533742,0.0,2.5790661362934917,0.0,,,,,,,,
regime_switching,1,catboost_quantile,,,,,,"[-0.011328716769344762, 0.04019184708331325, 0.021640568049779766]",0.2003454231433506,0.5002878526194589,0.7996545768566494,0.18194070080862534,0.4748427672955975,0.7852650494159928,0.4286134182493456,0.5090941323807683,0.30705986536411756,0.0,2.5543847517247427,0.0,,,,,,,,
regime_switching,1,lightgbm_barrier,,,,,,,,,,,,,,,,,,,"{0: -1.669966697115098, 1: -0.008487349220244654, 2: 1.1761468608238814}",0.795189762342338,0.01221163136546571,0.7341646578928722,0.4593625705258321,0.04624130096817923,0.6314316550066635,0.6776729559748428
regime_switching,1,catboost_barrier,,,,,,,,,,,,,,,,,,,"{0: -1.669966697115098, 1: -0.008487349220244654, 2: 1.1761468608238814}",0.7917731757325094,0.008763107044616351,0.7346282588726434,0.4607368664542529,0.04721665597760366,0.6304562999972391,0.6776729559748428
regime_switching,2,rolling_z,,,,,,,,,,,,,,,,,,,,,,,,,,
regime_switching,2,lightgbm_point,0.13257350227971132,1.353307411772207,1.3467981353012342,1.4322965999368675,1.1634149785881744,,,,,,,,,,,,,,,,,,,,,
regime_switching,2,catboost_point,0.1290161245305677,1.3546386351104747,1.348480875409467,1.4317418836182452,1.162030815454616,,,,,,,,,,,,,,,,,,,,,
regime_switching,2,lightgbm_huber,-0.16994312493086577,1.365112425305077,1.3544929929722933,1.4330785763291922,1.1454656160964416,,,,,,,,,,,,,,,,,,,,,
regime_switching,2,catboost_huber,-0.1211122752435606,1.357628589470953,1.352215664653467,1.4348382972882556,1.1453556028798313,,,,,,,,,,,,,,,,,,,,,
regime_switching,2,lightgbm_quantile,,,,,,"[0.0768667484454233, 0.05651630345639069, 0.038906840575097856]",0.20048163756773027,0.5003010234798314,0.8001204093919325,0.22406453058480844,0.5075061617745911,0.7996863096571812,0.4279609727688364,0.5160005669409732,0.29952390084681924,0.0,2.498370958868103,0.0,,,,,,,,
regime_switching,2,catboost_quantile,,,,,,"[0.017798186099228674, 0.06062076264215044, 0.03922974535584123]",0.20048163756773027,0.5003010234798314,0.8001204093919325,0.20322652924042123,0.5092986780192695,0.8012547613712749,0.4280220107553086,0.5168652326905189,0.29908201780240085,0.0,2.5459433749695237,0.0,,,,,,,,
regime_switching,2,lightgbm_barrier,,,,,,,,,,,,,,,,,,,"{0: -1.5731428515278263, 1: -0.08875607540120212, 2: 1.157845473955859}",0.7425071759246918,0.0036478018695472137,0.7500311871076264,0.46985104915290193,0.015804505661713028,0.6765708063563132,0.6607663006946001
regime_switching,2,catboost_barrier,,,,,,,,,,,,,,,,,,,"{0: -1.5731428515278263, 1: -0.08875607540120212, 2: 1.157845473955859}",0.741564454792667,0.001416006711922458,0.7483755916405735,0.4700383857485217,0.013113861596586727,0.6738801622911867,0.6607663006946001
